State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Karimnagar,2025-04-26,2025,04,0.0006691812,NRSC VIC MODEL
Telangana,Karimnagar,2025-04-30,2025,04,0.0051039261,NRSC VIC MODEL
Telangana,Karimnagar,2025-05-09,2025,05,0.0082270986,NRSC VIC MODEL
Telangana,Karimnagar,2025-05-15,2025,05,0.0020071013,NRSC VIC MODEL
Telangana,Karimnagar,2025-05-19,2025,05,0.0671471989,NRSC VIC MODEL
Telangana,Karimnagar,2025-05-23,2025,05,47.6924827578,NRSC VIC MODEL
Telangana,Karimnagar,2025-05-25,2025,05,8.5186805195,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-06,2025,06,0.0259190829,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-12,2025,06,3.3224789981,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-13,2025,06,4.0253402347,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-09,2025,06,5.5280529777,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-16,2025,06,2.25e-08,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-23,2025,06,1.4109223595,NRSC VIC MODEL
Telangana,Karimnagar,2025-06-27,2025,06,9.9949992906,NRSC VIC MODEL
Telangana,Khammam,2025-01-09,2025,01,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-01-18,2025,01,0.0080827826,NRSC VIC MODEL
Telangana,Khammam,2025-01-24,2025,01,0.0090684515,NRSC VIC MODEL
Telangana,Khammam,2025-02-22,2025,02,0.0661449695,NRSC VIC MODEL
Telangana,Khammam,2025-02-27,2025,02,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-03-01,2025,03,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-03-05,2025,03,0.0078078798,NRSC VIC MODEL
Telangana,Khammam,2025-03-08,2025,03,1.108e-07,NRSC VIC MODEL
Telangana,Khammam,2025-03-14,2025,03,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-03-21,2025,03,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-03-22,2025,03,0.1054614445,NRSC VIC MODEL
Telangana,Khammam,2025-04-02,2025,04,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-04-03,2025,04,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-04-22,2025,04,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-04-23,2025,04,0.0001606461,NRSC VIC MODEL
Telangana,Khammam,2025-04-25,2025,04,0.0,NRSC VIC MODEL
Telangana,Khammam,2025-05-21,2025,05,0.9910375159,NRSC VIC MODEL
Telangana,Khammam,2025-05-27,2025,05,0.0263907643,NRSC VIC MODEL
Telangana,Khammam,2025-05-30,2025,05,6.7906700834,NRSC VIC MODEL
Telangana,Khammam,2025-05-31,2025,05,1.271291042,NRSC VIC MODEL
Telangana,Khammam,2025-06-10,2025,06,0.0069756668,NRSC VIC MODEL
Telangana,Khammam,2025-06-09,2025,06,3.4178705607,NRSC VIC MODEL
Telangana,Khammam,2025-06-12,2025,06,0.0792487398,NRSC VIC MODEL
Telangana,Khammam,2025-06-19,2025,06,0.2260688416,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-03,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-06,2025,01,0.0108243491,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-09,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-13,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-17,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-18,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-22,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-23,2025,01,0.0002585749,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-01-29,2025,01,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-02-17,2025,02,1.65247e-05,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-02-23,2025,02,1.65247e-05,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-02-26,2025,02,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-03-03,2025,03,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-03-04,2025,03,0.0,NRSC VIC MODEL
